fish_local_cap,fish_average
20.0,760.9020000000002
20.5,783.3640000000003
21.0,803.8100000000002
21.5,821.95
22.0,825.3799999999998
22.5,860.2399999999997
23.0,879.094
23.5,898.6780000000001
24.0,906.7900000000001
24.5,928.824
25.0,950.0020000000001
25.5,972.238
25.95,969.078
26.4,996.612
26.849999999999998,1008.782
27.299999999999997,1042.331999999998
27.749999999999996,1053.1480000000013
28.199999999999996,1071.9579999999985
28.649999999999995,1083.986
29.099999999999994,1090.5800000000013
29.549999999999994,1115.3339999999987
29.999999999999993,1127.8339999999996
30.0,1135.4660000000006
30.5,1139.5960000000005
31.0,1148.6899999999987
31.5,1186.5879999999995
32.0,1186.878
32.5,1216.294000000001
33.0,1242.8560000000004
33.5,1246.1940000000018
34.0,1272.9199999999992
34.5,1296.3359999999996
35.0,1318.9700000000014
35.5,1328.9399999999998
36.0,1347.4040000000005
36.5,1360.68
37.0,1373.9019999999996
37.5,1397.6059999999986
38.0,1412.498000000001
38.5,1431.8040000000015
39.0,1453.0800000000004
39.5,1482.1299999999994
40.0,1508.352
40.5,1506.438000000001
